"Date","Playstation","Xbox","Nintendo"
2021-01,85.67,14.21,0.12
2021-02,90.98,8.5,0.52
2021-03,87.99,11.08,0.94
2021-04,90.07,8.7,1.23
2021-05,91.66,7.79,0.55
2021-06,86.95,9.99,3.06
2021-07,91.4,8.35,0.25
2021-08,86.72,13.15,0.14
2021-09,75.8,24,0.2
2021-10,78.81,20.94,0.25
2021-11,78.05,20.2,1.75
2021-12,74.69,21.27,4.05
