"Date","Playstation","Xbox","Nintendo"
2021-01,63.56,31.12,5.32
2021-02,66.45,29.36,4.19
2021-03,67.63,28.35,4.02
2021-04,67.61,28.42,3.97
2021-05,66.91,29.47,3.61
2021-06,69.31,27.11,3.58
2021-07,69.3,26.79,3.91
2021-08,71.95,25.04,3
2021-09,71.68,25.07,3.25
2021-10,68.91,27.37,3.72
2021-11,65.51,31.15,3.34
2021-12,68.82,29.09,2.09
