"Date","Playstation","Xbox","Nintendo"
2021-01,60.97,32.97,6.06
2021-02,63.4,31.04,5.56
2021-03,64.44,30.34,5.22
2021-04,65.3,29.27,5.43
2021-05,60.89,34.03,5.08
2021-06,60.17,34.83,5
2021-07,63.06,32.01,4.94
2021-08,67.5,28.14,4.36
2021-09,62.39,32.68,4.93
2021-10,61,34.56,4.44
2021-11,58.31,35.8,5.89
2021-12,59.88,35.9,4.22
